Image,level
w_317,136
w_348,244
w_3625,218
w_8547,269
w_4181,123
w_1438,218
w_6336,86
w_8377,22
w_4028,254
w_3074,139
w_256,223
w_8140,382
w_5805,370
w_6447,239
w_1975,200
w_8475,331
w_8754,270
w_5553,290
w_5021,341
w_1867,229
w_1273,431
w_6640,166
w_1381,106
w_4678,4
w_6402,286
w_7282,163
w_7376,115
w_1352,272
w_1741,271
w_2171,176
w_2907,70
w_7531,252
w_6504,51
w_1736,84
w_4504,219
w_8159,329
w_4692,241
w_7516,403
w_5165,163
w_2993,115
w_6759,42
w_8216,130
w_7567,266
w_4989,35
w_222,154
w_5775,387
w_8768,176
w_8942,236
w_5571,298
w_1308,361
w_3305,321
w_5892,17
w_2545,432
w_6181,43
w_3515,217
w_847,120
w_7327,251
w_3506,410
w_3462,222
w_1780,270
w_6363,161
w_4390,292
w_1827,145
w_272,104
w_4758,356
w_2001,266
w_4050,39
w_6797,267
w_984,434
w_4551,177
w_9015,19
w_8141,52
w_9396,60
w_5779,224
w_3492,51
w_9092,223
w_4889,420
w_6539,184
w_199,49
w_8290,2
w_3385,383
w_1619,381
w_1636,416
w_597,104
w_1296,265
w_2301,48
w_9233,7
w_3953,107
w_8934,43
w_7401,244
w_1277,81
w_888,369
w_969,212
w_4328,55
w_985,283
w_5514,147
w_8685,307
w_416,352
w_8164,222
w_7128,142
w_5129,386
w_1382,104
w_7452,307
w_1506,182
w_4256,373
w_5062,119
w_7115,224
w_2861,32
w_7795,98
w_1568,426
w_69,427
w_5207,71
w_7573,172
w_8428,320
w_6764,43
w_3494,414
w_9286,2
w_1604,45
w_571,178
w_8347,396
w_8588,299
w_3801,89
w_201,176
w_8706,5
w_7295,198
w_876,363
w_536,378
w_1323,425
w_560,352
w_1905,180
w_4374,248
w_5416,282
w_3249,250
w_1245,376
w_8719,394
w_3071,165
w_5222,171
w_5249,2
w_2664,418
w_1527,288
w_5485,65
w_3027,262
w_1218,90
w_5484,228
w_5274,212
w_9088,63
w_8083,237
w_3978,175
w_4759,133
w_3320,332
w_8421,400
w_2020,433
w_284,387
w_9047,378
w_7449,241
w_4251,139
w_6753,28
w_8143,424
w_5785,19
w_7790,386
w_5980,223
w_214,111
w_7109,261
w_4123,270
w_6656,92
w_2543,335
w_5844,107
w_3024,353
w_2251,396
w_5652,117
w_2440,149
w_4771,400
w_2287,313
w_1280,23
w_5476,250
w_3395,194
w_7237,422
w_163,156
w_4463,380
w_2788,396
w_4851,53
w_1348,383
w_9394,269
w_3476,159
w_1265,32
w_9217,295
w_4888,150
w_1328,240
w_6547,165
w_4904,206
w_3688,239
w_3313,201
w_7863,201
w_7258,111
w_8032,163
w_6685,287
w_568,242
w_1454,253
w_3542,312
w_8881,99
w_5399,203
w_9231,213
w_1868,315
w_3893,172
w_5259,420
w_1093,52
w_4757,432
w_577,222
w_6534,246
w_6095,349
w_6564,322
w_3711,64
w_5784,258
w_5846,234
w_2398,190
w_9049,388
w_5138,207
w_299,118
w_3127,141
w_2198,194
w_1608,170
w_5991,352
w_7598,320
w_6556,205
w_3977,261
w_6025,255
w_2742,435
w_798,67
w_8893,222
w_2063,309
w_2404,433
w_6818,393
w_8453,326
w_7950,129
w_4587,422
w_5293,52
w_7942,104
w_3979,305
w_5839,426
w_8646,429
w_4189,219
w_647,432
w_8559,289
w_4505,112
w_6394,391
w_3623,93
w_6094,38
w_1233,30
w_1595,321
w_3081,139
w_132,373
w_2255,418
w_3847,265
w_641,245
w_2717,357
w_6996,234
w_961,94
w_709,329
w_7041,304
w_4915,106
w_7605,335
w_9043,244
w_4727,423
w_7394,425
w_8630,332
w_7944,309
w_1117,178
w_2379,342
w_7271,362
w_5185,163
w_5434,331
w_3141,431
w_622,188
w_3484,144
w_6690,129
w_4025,80
w_1388,295
w_6434,62
w_4672,407
w_1603,360
w_8106,166
w_8061,50
w_1588,203
w_7263,425
w_4799,307
w_9209,114
w_4661,272
w_1423,118
w_7775,248
w_3368,442
w_9426,234
w_4237,402
w_6423,46
w_657,79
w_564,298
w_4612,316
w_991,81
w_8877,407
w_3406,374
w_9237,112
w_6206,200
w_3920,117
w_3530,170
w_3543,290
w_3925,67
w_6430,325
w_2190,112
w_8209,264
w_3235,292
w_770,331
w_470,176
w_661,240
w_6008,129
w_579,389
w_1753,305
w_3009,244
w_5585,323
w_314,15
w_2608,228
w_631,288
w_906,8
w_5808,142
w_3455,370
w_4481,315
w_746,306
w_7875,377
w_2128,295
w_7639,254
w_2444,180
w_6486,362
w_1713,370
w_1310,333
w_2597,99
w_8847,264
w_181,220
w_1281,301
w_7025,176
w_764,262
w_7292,200
w_9391,84
w_6725,81
w_3959,159
w_8485,432
w_6288,357
w_4498,101
w_8966,90
w_7810,176
w_1651,6
w_4990,223
w_4195,139
w_7219,114
w_8770,31
w_3425,304
w_5337,407
w_6736,385
w_3845,127
w_7071,206
w_690,386
w_7408,184
w_4058,372
w_5437,13
w_2494,426
w_4832,79
w_6626,52
w_6228,372
w_1646,181
w_4717,99
w_408,43
w_9412,295
w_485,19
w_4984,59
w_7843,401
w_7189,208
w_8240,344
w_8484,440
w_8664,265
w_962,343
w_2866,163
w_655,429
w_7482,180
w_1888,439
w_2606,377
w_2072,338
w_5453,12
w_1986,240
w_8762,351
w_7651,114
w_6493,295
w_6522,156
w_9082,146
w_2276,234
w_986,330
w_8297,326
w_3241,98
w_2130,165
w_6166,146
w_1453,133
w_2592,252
w_1994,175
w_6524,252
w_2680,40
w_2613,65
w_2609,294
w_7260,263
w_915,354
w_9027,124
w_719,278
w_7157,188
w_9205,270
w_99,338
w_2450,50
w_8160,226
w_4421,60
w_1541,68
w_5747,105
w_1393,98
w_3773,305
w_6161,169
w_1435,310
w_3080,11
w_6338,279
w_7465,145
w_4450,421
w_5377,150
w_1613,330
w_6947,393
w_9077,149
w_6859,34
w_7854,65
w_6622,364
w_7137,19
w_8177,439
w_4483,429
w_2997,344
w_4088,17
w_4404,180
w_9365,223
w_4650,36
w_3295,312
w_7418,243
w_5266,171
w_7129,179
w_2525,22
w_7316,29
w_7038,229
w_6638,115
w_2481,425
w_403,416
w_1459,34
w_7385,183
w_8956,446
w_4046,108
w_8132,323
w_5714,21
w_582,71
w_2595,405
w_3747,112
w_7014,31
w_1705,382
w_4722,346
w_9089,269
w_472,338
w_5195,432
w_315,119
w_5687,28
w_343,288
w_5428,65
w_2877,381
w_3351,373
w_3934,149
w_3545,140
w_4621,99
w_5727,194
w_2880,83
w_4959,193
w_5429,176
w_6346,49
w_5536,369
w_7677,266
w_455,112
w_5099,30
w_7335,261
w_6268,265
w_7652,393
w_2816,321
w_1983,378
w_2911,72
w_5427,412
w_8941,136
w_8769,81
w_5102,406
w_9313,286
w_9093,432
w_1026,371
w_2518,229
w_4371,175
w_9075,353
w_8019,60
w_5931,305
w_5051,366
w_5327,368
w_2199,388
w_8072,158
w_7589,272
w_3691,82
w_9072,24
w_482,264
w_1899,295
w_8970,390
w_1024,319
w_3512,364
w_782,165
w_8909,424
w_3509,21
w_6701,114
w_2645,236
w_5376,43
w_9346,64
w_6798,141
w_742,80
w_6991,410
w_7640,21
w_74,45
w_7501,360
w_7447,118
w_9137,305
w_7205,169
w_4350,169
w_8976,48
w_1068,409
w_3902,118
w_840,23
w_9147,338
w_8039,363
w_4552,139
w_8161,303
w_2747,132
w_1518,405
w_9095,45
w_7387,117
w_8816,114
w_7993,40
w_8005,24
w_4179,57
w_934,222
w_1373,436
w_5511,253
w_2405,390
w_6453,23
w_5720,217
w_6044,414
w_3844,255
w_7859,45
w_8494,285
w_8170,167
w_3810,369
w_8282,168
w_8748,35
w_952,360
w_6002,414
w_3357,206
w_8848,62
w_3808,258
w_1525,231
w_755,311
w_5247,156
w_5196,370
w_8863,83
w_7425,446
w_4127,312
w_3751,295
w_2753,0
w_2868,445
w_2206,189
w_1210,360
w_5987,65
w_4249,6
w_4012,106
w_4660,84
w_4545,317
w_2737,325
w_651,357
w_7927,351
w_484,190
w_4113,230
w_296,284
w_7059,123
w_5873,70
w_2145,123
w_6588,373
w_9125,357
w_1000,283
w_1411,134
w_6834,388
w_8585,307
w_8724,406
w_5651,212
w_9086,349
w_2786,331
w_4018,326
w_5909,252
w_3584,99
w_3831,49
w_7590,299
w_7015,273
w_3010,355
w_5463,276
w_323,366
w_3794,188
w_5857,321
w_8201,431
w_837,188
w_946,29
w_9100,111
w_4821,234
w_2238,175
w_2698,114
w_6625,23
w_3994,347
w_5109,149
w_7039,220
w_1206,343
w_584,361
w_7366,223
w_9372,59
w_8118,416
w_1764,107
w_7513,368
w_2111,147
w_3427,31
w_8840,330
w_3051,426
w_8617,215
w_5308,377
w_7746,237
w_7470,291
w_4394,117
w_5307,143
w_3134,278
w_9061,24
w_8546,224
w_2249,232
w_4524,161
w_5332,52
w_8593,158
w_9329,98
w_7502,369
w_8714,295
w_3809,292
w_6855,418
w_7062,330
w_6431,416
w_1377,413
w_1329,43
w_143,165
w_1807,401
w_7663,57
w_5576,119
w_6429,144
w_6839,62
w_3635,229
w_298,142
w_404,310
w_1553,173
w_3830,122
w_886,62
w_7654,22
w_8684,218
w_5981,263
w_8662,54
w_4217,409
w_1279,111
w_4768,290
w_8271,280
w_866,40
w_1881,256
w_5126,223
w_6699,109
w_8916,180
w_4553,23
w_4358,327
w_2918,271
w_7576,197
w_1455,109
w_4223,42
w_5734,210
w_4053,423
w_2048,139
w_5782,364
w_5094,52
w_2932,136
w_8276,31
w_6478,122
w_4688,215
w_7867,226
w_402,381
w_7464,384
w_1313,231
w_6442,294
w_5157,91
w_6852,439
w_516,198
w_3985,200
w_258,57
w_9298,359
w_175,118
w_6803,326
w_1359,240
w_2203,163
w_1337,46
w_7228,236
w_3763,313
w_6446,335
w_8613,376
w_2654,184
w_9410,341
w_992,326
w_9183,1
w_9036,8
w_4367,307
w_3164,133
w_3168,276
w_3358,62
w_8750,348
w_413,251
w_7202,393
w_243,153
w_8895,286
w_3793,444
w_9435,403
w_6763,75
w_9001,391
w_5318,410
w_4763,285
w_3106,393
w_1583,172
w_8175,406
w_4476,443
w_9263,6
w_927,60
w_1266,419
w_5360,336
w_5065,240
w_8184,21
w_1818,270
w_5725,185
w_8280,20
w_2537,344
w_5105,67
w_2783,60
w_4793,115
w_9401,381
w_6258,191
w_3364,416
w_8661,336
w_3710,120
w_4131,328
w_2646,321
w_3917,253
w_9035,341
w_4293,241
w_936,386
w_5178,444
w_3176,380
w_7574,257
w_97,20
w_1397,132
w_5384,240
w_3468,38
w_5137,263
w_609,321
w_8088,135
w_4381,139
w_2340,52
w_3459,275
w_6642,188
w_9099,55
w_8604,209
w_2705,424
w_3192,368
w_4140,145
w_9153,165
w_1035,277
w_4392,218
w_3327,19
w_4013,217
w_8542,144
w_7310,272
w_9181,344
w_16,151
w_2940,295
w_5554,140
w_3429,261
w_8838,30
w_1995,120
w_2563,134
w_7288,142
w_1932,403
w_2828,230
w_2131,390
w_6087,279
w_4403,49
w_2652,167
w_7544,315
w_2372,307
w_2070,411
w_2036,426
w_5800,223
w_269,195
w_7437,88
w_6199,346
w_4517,396
w_9466,218
w_6490,424
w_1157,241
w_5885,354
w_2492,320
w_993,20
w_2870,178
w_3100,44
w_5410,427
w_1949,53
w_1067,14
w_6210,413
w_3916,155
w_4955,290
w_2955,405
w_6506,163
w_822,113
w_1537,47
w_2493,180
w_8454,352
w_5241,180
w_5221,357
w_8702,166
w_2056,187
w_1466,283
w_3202,17
w_1589,34
w_6449,378
w_6340,389
w_7653,226
w_646,446
w_9133,385
w_4567,323
w_8636,160
w_1530,410
w_8785,7
w_7898,128
w_3957,81
w_5622,8
w_2897,172
w_5452,411
w_4581,87
w_4191,234
w_3184,288
w_8626,62
w_4514,194
w_2396,265
w_6526,143
w_4554,277
w_4858,136
w_3417,15
w_5668,32
w_8081,170
w_5002,317
w_7945,354
w_8248,372
w_5739,410
w_1997,292
w_4918,354
w_3073,107
w_7426,97
w_9164,312
w_1828,135
w_3507,129
w_6782,25
w_3629,362
w_4315,227
w_6198,239
w_9151,377
w_1177,316
w_8997,95
w_6034,331
w_9430,244
w_8031,40
w_8406,380
w_5528,258
w_740,432
w_4658,268
w_4426,291
w_6789,79
w_9259,109
w_4330,192
w_7683,279
w_8571,331
w_177,219
w_3868,313
w_8044,51
w_6835,189
w_4153,49
w_8627,425
w_3260,28
w_676,0
w_3053,313
w_266,117
w_8274,40
w_1204,167
w_616,229
w_4919,428
w_3899,299
w_4983,425
w_9359,52
w_8028,363
w_7873,371
w_1801,119
w_5290,176
w_1529,366
w_4215,232
w_1489,192
w_59,43
w_9456,358
w_9294,78
w_4003,156
w_7606,194
w_1793,88
w_1275,426
w_2150,264
w_4056,203
w_4183,361
w_5957,159
w_73,395
w_9143,352
w_1961,70
w_4899,165
w_91,143
w_5535,390
w_1684,311
w_465,28
w_435,149
w_7175,31
w_6032,81
w_9065,265
w_5246,109
w_3284,343
w_21,42
w_5091,286
w_4531,248
w_4576,80
w_4557,13
w_1756,317
w_1016,388
w_4354,378
w_4720,60
w_5100,372
w_3863,35
w_5520,208
w_3931,79
w_1112,298
w_5928,316
w_2120,390
w_355,79
w_1802,55
w_3355,426
w_3697,432
w_3516,387
w_7782,272
w_6929,0
w_4273,45
w_5856,239
w_8763,198
w_1563,426
w_3790,400
w_1870,241
w_7349,422
w_8643,59
w_1517,425
w_261,208
w_9214,163
w_1812,428
w_1795,237
w_2539,189
w_3474,344
w_1491,370
w_8319,117
w_1364,252
w_6600,3
w_9200,163
w_3093,410
w_2564,42
w_5801,56
w_8259,429
w_8721,381
w_6285,138
w_6247,24
w_9326,223
w_3848,170
w_7758,397
w_1456,199
w_5726,224
w_3692,221
w_6030,356
w_5722,419
w_2265,317
w_5270,0
w_7691,242
w_4280,106
w_4253,271
w_717,374
w_3005,140
w_5704,263
w_1039,118
w_6331,362
w_5915,394
w_2913,147
w_5503,219
w_6548,85
w_4503,212
w_9244,229
w_1073,55
w_8124,322
w_3886,288
w_7467,124
w_4860,245
w_8531,330
w_1984,23
w_1221,176
w_670,358
w_4176,411
w_4544,354
w_5804,245
w_4423,295
w_3854,244
w_3413,147
w_3209,410
w_8103,354
w_2323,42
w_7319,163
w_3126,378
w_9064,363
w_5493,417
w_3878,391
w_9024,400
w_3232,364
w_4129,349
w_2847,184
w_3680,193
w_5765,129
w_125,135
w_3655,403
w_2209,31
w_636,416
w_8409,146
w_2881,436
w_8536,159
w_4030,250
w_1924,150
w_259,135
w_3461,347
w_2089,439
w_9239,99
w_1005,182
w_3952,260
w_3172,210
w_2401,44
w_8425,440
w_6644,272
w_523,39
w_399,390
w_3212,283
w_1799,409
w_4611,129
w_7253,350
w_7439,151
w_3521,393
w_4292,162
w_8156,261
w_2412,28
w_2701,414
w_8429,357
w_491,84
w_5977,406
w_7742,172
w_9297,117
w_2236,6
w_8198,366
w_7933,57
w_7594,164
w_614,425
w_1256,156
w_443,6
w_6045,346
w_1145,411
w_2980,346
w_8339,346
w_2616,129
w_6501,332
w_1263,377
w_5698,234
w_1200,129
w_2744,164
w_8450,265
w_7154,444
w_1776,305
w_7553,131
w_693,283
w_2082,183
w_6643,19
w_5118,265
w_7168,128
w_6352,124
w_8952,36
w_1170,33
w_5296,270
w_6598,389
w_7358,106
w_3188,48
w_5781,410
w_9275,99
w_5729,351
w_6269,139
w_3063,319
w_684,231
w_5773,381
w_8963,91
w_4509,277
w_6489,191
w_7422,190
w_3207,184
w_3045,409
w_3060,32
w_1978,237
w_5044,94
w_6499,46
w_4506,302
w_3874,385
w_4211,244
w_1355,223
w_7749,407
w_5009,65
w_8327,347
w_9152,349
w_5248,259
w_3818,275
w_7270,330
w_1047,294
w_43,55
w_2874,23
w_841,106
w_8353,439
w_6293,295
w_6618,230
w_7232,399
w_7883,424
w_508,350
w_7086,6
w_8289,322
w_8344,372
w_7981,30
w_1564,176
w_1303,321
w_2226,21
w_2802,252
w_5786,396
w_5599,436
w_3510,133
w_674,370
w_7889,327
w_8722,23
w_9111,161
w_994,260
w_6793,156
w_2544,270
w_660,150
w_400,79
w_2829,146
w_1569,275
w_8332,136
w_9019,115
w_2594,68
w_1376,303
w_5950,17
w_4969,161
w_6156,414
w_6639,234
w_288,360
w_776,259
w_4914,141
w_8841,186
w_2217,313
w_9008,391
w_751,425
w_1249,381
w_8910,156
w_4370,263
w_9053,377
w_2417,139
w_799,318
w_4844,308
w_3579,373
w_2862,407
w_806,6
w_6219,140
w_2387,329
w_4165,112
w_5499,380
w_5715,362
w_2736,129
w_4332,341
w_629,436
w_3649,143
w_2200,192
w_1450,283
w_1095,409
w_7222,389
w_1674,284
w_2569,57
w_8874,126
w_3823,223
w_3224,24
w_6480,403
w_5888,379
w_7400,241
w_1044,223
w_5868,208
w_4528,405
w_3841,242
w_6521,244
w_757,157
w_9306,190
w_8489,317
w_5046,106
w_9402,416
w_6716,238
w_4530,446
w_9116,198
w_3624,443
w_9440,156
w_2770,225
w_6607,275
w_4958,306
w_5478,222
w_6603,139
w_3539,337
w_5115,156
w_2804,122
w_1562,399
w_818,34
w_6768,138
w_3296,416
w_6205,242
w_8386,78
w_3544,432
w_3075,192
w_6062,78
w_5616,50
w_5156,232
w_5526,360
w_5325,33
w_1180,141
w_4406,79
w_3482,103
w_2732,403
w_519,82
w_2661,217
w_4825,346
w_2954,0
w_5026,135
w_1120,198
w_4802,270
w_1051,184
w_5916,321
w_6497,78
w_8818,275
w_1375,212
w_2658,289
w_4666,136
w_8403,360
w_2468,203
w_8996,426
w_894,347
w_2077,176
w_6196,238
w_9145,294
w_4890,161
w_2247,416
w_4589,234
w_3724,232
w_2743,438
w_3097,31
w_9134,329
w_5723,157
w_5171,118
w_158,135
w_1139,149
w_6574,80
w_1187,182
w_1007,162
w_5626,330
w_3608,184
w_5866,166
w_8226,95
w_4521,196
w_7579,176
w_9115,20
w_2529,244
w_7961,313
w_4135,143
w_4316,307
w_3287,357
w_5669,254
w_7893,310
w_7051,236
w_2685,266
w_6131,375
w_3381,149
w_2234,446
w_8296,325
w_1895,219
w_6053,369
w_3078,406
w_5475,269
w_8846,117
w_754,144
w_4971,208
w_4835,112
w_6009,426
w_6270,13
w_6702,416
w_2197,426
w_3587,445
w_5093,442
w_4477,64
w_6006,222
w_9074,327
w_5457,385
w_9315,12
w_1834,413
w_535,13
w_6420,289
w_9021,188
w_8307,288
w_8245,28
w_5324,429
w_9295,426
w_8950,68
w_410,159
w_943,84
w_6697,185
w_9333,355
w_2982,330
w_9109,175
w_2221,236
w_8263,353
w_8676,117
w_1495,246
w_7621,12
w_2531,394
w_1587,407
w_2376,414
w_7849,211
w_687,182
w_1813,223
w_1526,104
w_6983,46
w_1083,194
w_188,103
w_7572,198
w_9268,60
w_4290,21
w_9447,234
w_8830,12
w_6802,370
w_935,176
w_4104,332
w_5802,176
w_4996,218
w_1081,307
w_2774,115
w_1479,273
w_583,60
w_3033,129
w_7903,344
w_5913,150
w_2109,374
w_7241,161
w_2887,147
w_6571,396
w_8667,275
w_3135,220
w_8783,326
w_1291,341
w_7711,372
w_2073,222
w_6266,361
w_3289,65
w_3901,150
w_8008,356
w_1225,407
w_1054,369
w_8310,72
w_7303,178
w_9059,142
w_7750,38
w_3750,235
w_653,364
w_1582,3
w_7807,181
w_545,62
w_2113,137
w_7187,242
w_6961,157
w_8040,183
w_6664,346
w_6617,274
w_6175,184
w_1033,371
w_3222,248
w_2278,361
w_6452,49
w_4732,297
w_908,438
w_1354,230
w_8396,332
w_6193,81
w_2138,91
w_3186,40
w_5853,52
w_6466,240
w_6143,278
w_8953,415
w_4066,190
w_1845,28
w_6217,366
w_7344,326
w_7557,261
w_7321,82
w_5547,52
w_3996,446
w_9177,192
w_6939,363
w_6538,38
w_5193,183
w_5369,365
w_297,139
w_7525,426
w_8066,373
w_7042,377
w_5744,149
w_7969,132
w_3299,36
w_182,244
w_4655,58
w_5711,165
w_1172,184
w_6384,166
w_7930,376
w_5683,138
w_9433,149
w_4560,7
w_7910,426
w_1631,320
w_8977,279
w_2642,354
w_6700,174
w_7354,240
w_907,47
w_7957,285
w_3483,443
w_5139,129
w_6873,31
w_8392,351
w_2533,246
w_9178,242
w_9308,125
w_8600,430
w_4836,15
w_7287,356
w_7534,261
w_9442,86
w_1151,65
w_8805,198
w_1107,332
w_3177,445
w_5501,316
w_1150,323
w_8788,426
w_7,69
w_6238,301
w_6770,107
w_6572,379
w_4960,80
w_7709,109
w_2900,270
w_5322,304
w_68,366
w_8797,213
w_9311,270
w_5911,105
w_4214,244
w_2891,38
w_1853,371
w_4432,72
w_8224,378
w_7505,40
w_3591,17
w_4121,176
w_7476,142
w_1106,31
w_4744,129
w_9287,81
w_495,331
w_819,322
w_6061,265
w_1521,184
w_7067,426
w_6911,215
w_3799,147
w_7242,327
w_3478,208
w_5905,183
w_5403,108
w_4518,241
w_4922,48
w_5708,170
w_4389,391
w_4000,239
w_1669,6
w_8262,283
w_8915,66
w_228,118
w_8532,85
w_5470,46
w_4458,408
w_6281,74
w_3815,252
w_5092,104
w_6088,62
w_9390,79
w_7466,377
w_8901,270
w_5217,232
w_1774,75
w_3062,231
w_836,345
w_2944,388
w_3105,344
w_1426,56
w_7708,266
w_1417,232
w_6958,176
w_7301,157
w_6523,271
w_2812,240
w_5498,386
w_9418,443
w_8905,17
w_8855,12
w_1012,151
w_5467,330
w_6483,406
w_6661,213
w_6191,330
w_70,243
w_8292,418
w_8663,325
w_8060,441
w_1558,34
w_3138,189
w_3581,140
w_6498,299
w_8208,285
w_4190,84
w_8610,21
w_4563,139
w_3334,319
w_2818,424
w_4525,267
w_2931,110
w_2601,156
w_2547,23
w_5131,52
w_6727,3
w_7672,69
w_8578,308
w_5881,337
w_734,58
w_6925,108
w_1132,35
w_8231,213
w_196,167
w_8809,20
w_1615,409
w_6404,135
w_910,176
w_4819,112
w_4782,321
w_1890,439
w_3379,239
w_6376,69
w_3343,326
w_5267,283
w_7820,296
w_5994,211
w_5879,388
w_9182,255
w_28,319
w_86,322
w_7650,56
w_8930,270
w_9148,108
w_4845,431
w_5494,78
w_3338,60
w_5013,266
w_6509,157
w_2148,307
w_3723,302
w_3531,325
w_6752,259
w_7518,288
w_3508,27
w_4196,48
w_1555,189
w_3660,251
w_3293,155
w_405,212
w_940,344
w_4324,364
w_2044,344
w_4968,320
w_1598,167
w_4125,96
w_9260,36
w_251,351
w_8317,281
w_4278,321
w_7009,114
w_7002,437
w_6967,176
w_3303,34
w_3618,349
w_3780,414
w_358,269
w_7497,354
w_5602,111
w_7638,419
w_701,301
w_4963,109
w_5545,15
w_3283,218
w_1105,390
w_6546,225
w_6624,383
w_2144,177
w_8774,117
w_6458,194
w_2050,248
w_572,79
w_5397,252
w_7833,426
w_1212,29
w_2579,347
w_5832,141
w_6147,176
w_1936,141
w_3029,298
w_7940,155
w_5601,133
w_1268,419
w_471,157
w_8845,380
w_8739,342
w_2471,114
w_563,113
w_648,179
w_8758,418
w_1934,372
w_2643,425
w_4810,444
w_2132,315
w_4154,357
w_9079,331
w_9050,427
w_6994,115
w_9216,326
w_3236,9
w_7707,114
w_2671,372
w_6215,19
w_8111,318
w_2596,351
w_7616,128
w_942,141
w_1584,405
w_3565,156
w_2121,112
w_5584,169
w_2225,418
w_6838,354
w_6570,139
w_190,33
w_7550,376
w_7633,45
w_5549,292
w_4868,360
w_4294,381
w_3973,328
w_8634,264
w_7085,438
w_5903,377
w_2021,341
w_3745,63
w_3997,82
w_762,392
w_9408,95
w_6374,25
w_867,252
w_8126,80
w_2000,82
w_5826,38
w_7721,266
w_4767,168
w_1954,23
w_7076,62
w_6881,378
w_4365,287
w_4562,374
w_5973,184
w_6060,170
w_5688,50
w_632,106
w_7904,320
w_3695,315
w_3597,110
w_752,240
w_9470,314
w_5363,197
w_8215,30
w_4493,301
w_5294,149
w_162,406
w_6937,312
w_8808,312
w_8079,214
w_1814,330
w_1606,281
w_8049,142
w_706,69
w_1361,62
w_3678,399
w_1691,197
w_2220,432
w_6004,295
w_8747,13
w_831,115
w_966,19
w_329,142
w_722,222
w_8718,147
w_6926,388
w_7609,3
w_9344,412
w_8577,86
w_6310,288
w_4954,86
w_1045,146
w_3604,184
w_4615,362
w_2222,9
w_5762,141
w_6209,344
w_8440,390
w_7506,36
w_8766,149
w_3871,295
w_216,357
w_3318,260
w_8436,377
w_1565,28
w_3101,329
w_2421,99
w_6959,241
w_6554,380
w_7474,277
w_2987,10
w_3219,160
w_6674,172
w_5257,2
w_7276,307
w_3676,385
w_5705,128
w_4234,264
w_7012,373
w_3001,351
w_4965,156
w_5486,239
w_1641,307
w_8150,342
w_4418,57
w_7551,391
w_8601,440
w_1448,70
w_8533,266
w_7100,65
w_63,390
w_7403,139
w_1175,402
w_4847,139
w_6299,248
w_2893,326
w_8548,354
w_3761,290
w_1737,388
w_3333,381
w_6373,194
w_3195,226
w_3185,48
w_765,109
w_4395,11
w_4105,246
w_2706,371
w_4529,168
w_3227,41
w_2409,143
w_4707,132
w_4167,175
w_4839,79
w_75,413
w_7941,176
w_386,413
w_3616,284
w_8862,230
w_7089,190
w_4229,32
w_4603,142
w_5348,414
w_2408,288
